Settle Date;Security;Maturity;Bid Price;Ask Price;Accrued
2022.10.21;A311022A15;2031.10.22;57.9703;58.8465;0
2022.10.21;A271027A16;2027.10.27;66.2544;66.9723;2.9507
2022.10.21;A261222D17;2026.12.22;67.8976;68.4941;2.2829
2022.10.21;A230726B18;2023.07.26;101.21;101.6;2.7985
2022.10.21;A381027A18;2038.10.27;45.4368;46.5577;2.9507
2022.10.21;A241024C18;2024.10.24;79.1231;79.4776;0
2022.10.21;A300821A19;2030.08.21;59.2552;60.175;0.5014
2022.10.21;A251126C19;2025.11.26;69.2494;69.7356;0.9014
2022.10.21;A270422B20;2027.04.22;100.16;100.47;0
2022.10.21;A410425A20;2041.04.25;43.4355;44.3478;1.4712
2022.10.21;A230823C20;2023.08.23;90.2991;90.4318;0.2425
2022.10.21;A290523A20;2029.05.23;57.6979;58.4941;0.8274
2022.10.21;A260422E20;2026.04.22;68.0593;68.5751;0.7479
2022.10.21;A330420A20;2033.04.20;49.3879;50.3156;1.1342
2022.10.21;A340622A21;2034.06.22;47.7527;48.5577;0.7459
2022.10.21;A290822B21;2029.08.22;97.61;97.95;2.0033
2022.10.21;A260826F21;2026.08.26;66.2359;66.7867;0.2301
2022.10.21;A510428G21;2051.04.28;46.2547;47.588;1.9288
2022.10.21;A280323B22;2028.03.23;70.4594;71.1622;3.3904
2022.10.21;A321124A22;2032.11.24;64.175;65.1679;3.5788
2022.10.21;A320527G22;2032.05.27;63.2823;64.2371;1.8123
2022.10.21;D230222;2023.02.22;96.1516;96.2281;0
2022.10.21;D230419;2023.04.19;94.2152;94.264;0
2022.10.21;D230628;2023.06.28;91.7139;91.8602;0
2022.10.21;D230823;2023.08.23;90.0151;90.153;0
2022.10.21;D230517;2023.05.17;92.7495;92.8689;0
2022.10.21;D231018;2023.10.18;87.9697;88.1646;0
2022.10.21;A320825B22;2032.08.25;97.13;97.6;0.0766
2022.10.24;A231124A07;2023.11.24;91.0952;91.2838;5.4904
2022.10.24;A281022A11;2028.10.22;78.7074;79.5925;0.037
2022.10.24;A250624B14;2025.06.24;80.8953;81.3466;1.8384
2022.10.24;A240626B15;2024.06.26;82.7999;83.0862;0.9863
2022.10.24;A311022A15;2031.10.22;57.9618;58.8371;0.0178
2022.10.24;A271027A16;2027.10.27;66.2417;66.9582;2.9753
2022.10.24;A261222D17;2026.12.22;68.0892;68.5426;2.3055
2022.10.24;A230726B18;2023.07.26;101.09;101.45;2.895
2022.10.24;A381027A18;2038.10.27;45.773;46.9047;2.9753
2022.10.24;A241024C18;2024.10.24;79.406;79.6786;0
2022.10.24;A300821A19;2030.08.21;59.355;60.2758;0.526
2022.10.24;A251126C19;2025.11.26;69.9517;70.405;0.9096
